ID,Ley,Articulo,Objetivo,Stakeholder,ID-EV,ID-RF,Tipo,ID-CU,ID-HU,ID-CA,ID-Componente,ID-Mockup
1,,,Monitorear el estado ambiental del aula,Personal de Infraestructura y Mantenimiento,EV-01,RF-01,RF,CU-01;CU-03,,,SensorIoT;LecturaSensor,MU-01
2,,,Controlar remotamente los dispositivos del aula,Personal de Infraestructura y Mantenimiento,EV-01,RF-02,RF,CU-02,,,GatewayIoT;Equipo,MU-01
3,,,Detectar automaticamente la ocupacion del aula,Personal de Infraestructura y Mantenimiento,EV-01,RF-03,RF,CU-03,,,SensorIoT;Aula,MU-01
4,,,Controlar remotamente los proyectores,Personal de Infraestructura y Mantenimiento;Docente;Estudiantes,EV-01;EV-02;EV-03,RF-04,RF,CU-01;CU-02,HU-04,CA-04,Proyector,MU-01
5,,,Ajustar remotamente la climatizacion,Personal de Infraestructura y Mantenimiento;Estudiantes,EV-01;EV-03,RF-05,RF,CU-01;CU-02,HU-05,CA-05,Climatizador,MU-01
6,,,Integrar el sistema con la videovigilancia existente,Personal de Infraestructura y Mantenimiento,EV-01,RF-06,RF,CU-15,,,CamaraVigilancia,
7,,,Consultar un panel de control centralizado,Personal de Infraestructura y Mantenimiento;Docente;Estudiantes,EV-01;EV-02;EV-03,RF-07,RF,CU-01,HU-07,CA-07,Aula,MU-01
8,,,Generar y enviar alertas por anomalias,Personal de Infraestructura y Mantenimiento;Estudiantes,EV-01;EV-03,RF-08,RF,CU-04;CU-05,HU-08,CA-08,Alerta,MU-02
9,,,Predecir fallos de equipos mediante IA,Docente,EV-02,RF-09,RF,CU-16,,,Equipo,
10,,,Registrar el historial de fallas y mantenimientos,Personal de Infraestructura y Mantenimiento,EV-01,RF-10,RF,CU-08,,,SolicitudMantenimiento,MU-03
11,,,Notificar de forma inmediata las fallas criticas,Docente;Estudiantes,EV-02;EV-03,RF-11,RF,CU-04;CU-05,HU-11,CA-11,Alerta,MU-02
12,,,Gestionar las solicitudes de mantenimiento,Personal de Infraestructura y Mantenimiento;Docente;Estudiantes,EV-01;EV-02;EV-03,RF-12,RF,CU-06;CU-07,HU-12,CA-12,SolicitudMantenimiento,MU-03
13,,,Controlar automaticamente el apagado energetico,Personal de Infraestructura y Mantenimiento,EV-01,RF-13,RF,CU-13,,,Equipo,
