Anexo B - Registro consolidado de defectos de la inspeccion Fagan;;;;;;;
Documento inspeccionado;ERS_SIGA_v1.0.pdf (SIGA - Sistema Inteligente de Gestion de Aulas, Entrega 2A);Paginas efectivas;122;Fecha de la reunion;2026-08-09;Moderador;Munoz Quinonez Yeranick Esther
Fuente del artefacto;https://github.com/gsanchezc6-beep/SIGA_FGMMN_ISR401_AVANCE_2A - commit bb04d43 - 01_ERS/ERS_SRS_2A_v1.0.pdf y secciones_generadas.tex (2256 lineas);;;;;;
Minimo exigido por la guia;15 defectos unicos con al menos 3 criticos o mayores;Consolidado obtenido;29 defectos unicos;Criticos;4;Mayores;19
Nota;La columna Correccion se completa en la fase posterior de correccion. La inspeccion detecta, no corrige. Las lineas citadas corresponden a 01_ERS/secciones_generadas.tex del repositorio inspeccionado.;;;;;;
;;;;;;;
N.o;Seccion del ERS;Descripcion del defecto;Tipo;Severidad;Requisito afectado;Detectado por;Correccion
D-01;Anexo A.4 Declaracion de uso de IA generativa (linea 2225; PDF pagina 121);La seccion A.4 existe solo como titulo: no contiene texto alguno y el PDF la imprime seguida inmediatamente del Anexo C. El Registro de correcciones 1B->2A (linea 38) declara sin embargo que la observacion del docente quedo resuelta y cita el Apendice A.4 como evidencia. Una correccion exigida por el docente se reporta como incorporada sobre una seccion vacia.;Completitud;Critico;Apendice A.4 y trazabilidad de correcciones 1B->2A;Chavarria (I1);CORREGIDO
D-02;Apendice D y 04_Trazabilidad/matriz_trazabilidad.csv (linea 2240; CSV filas 5-45);La matriz declarada fuente de verdad referencia 18 identificadores de historia de usuario y de criterio de aceptacion que no existen en el ERS: HU-24 HU-25 HU-07b HU-07e HU-10b HU-12b HU-12c HU-12d y CA-04 CA-07b CA-07c CA-07d CA-07e CA-10b CA-12b CA-12c CA-12d CA-24 CA-25. El ERS solo define HU-01 a HU-17 (seccion 3.6) y no define ningun identificador CA. Simultaneamente la matriz deja vacia la columna ID-HU para RF-01 RF-02 RF-03 RF-10 RF-13 RF-15 RF-19 RF-21 RF-22 y RF-23 que si tienen historia en el ERS.;Trazabilidad;Critico;Matriz de trazabilidad completa y HU-01 a HU-17;Chavarria (I2);CORREGIDO
D-03;3.4 Requisitos legales fila Art. 4 y Art. 26 (linea 941) frente a RF-03 (linea 536) y RF-06 (linea 581);La justificacion que sustenta la clasificacion Categoria B de riesgo etico afirma que SIGA procesa el video de la camara unicamente para determinar presencia y ocupacion de forma agregada sin almacenar video ni fotogramas y sin reconocimiento facial. Ningun requisito especifica ese procesamiento: RF-03 determina ocupacion con sensores de presencia y explicitamente sin depender de revision por camaras, y RF-06 solo produce una vista embebida del flujo dentro del panel. La conclusion legal descansa sobre un comportamiento que el ERS no especifica y contradice el que si especifica.;Consistencia;Critico;RF-03 RF-06 RD-05 y clasificacion Categoria B;Chavarria (I1);CORREGIDO
D-04;2.6.1 SUP-01 (linea 316) y 2.6.2 DEP-01 (linea 336) frente a 3.3 NFR-16 (linea 903);SUP-01 asume que las aulas y laboratorios contaran con conectividad Wi-Fi o cableada estable y DEP-01 hace depender de ella todo el sistema. NFR-16, incorporado en esta misma entrega y sustentado en EV-15, declara que el participante DOC-03 afirmo que no hay internet en la mayoria de las aulas de la Facultad. La suposicion fundacional del sistema queda refutada por la evidencia de campo del propio equipo y no se actualizo ni se documento el riesgo derivado.;Factibilidad;Critico;SUP-01 DEP-01 NFR-16 y RF-01 a RF-08;Chavarria (I2);CORREGIDO
D-05;3.3 (linea 880) 3.3.1 (linea 912) 3.3.2 (linea 919) 5.1 (linea 1825) 5.2.1 (linea 1874) y VIII (linea 2097);El documento remite cinco veces a la Tabla 39 como tabla de requisitos no funcionales y dos veces a la Tabla 42 como tabla de clasificacion y priorizacion. Por el orden de leyendas del fuente la tabla de RNF es la Tabla 41 (la 39 es la ficha de RF-24) y la de clasificacion es la Tabla 60 (la 42 es Trazabilidad Ley-Articulo-RF/RNF). Los siete numeros estan escritos a mano y ninguno resuelve. El fuente no contiene un solo comando ref pese a definir 51 label.;Trazabilidad;Mayor;Tabla 41 Tabla 60 y todas las referencias cruzadas del documento;Chavarria (I1);CORREGIDO
D-06;6.1 Alcance del MVP (linea 2009) frente a 6.4 Estado actual (linea 2030);Las dos subsecciones declaran alcances del MVP mutuamente incompatibles. 6.1 enumera 12 RF (RF-01 02 03 04 05 07 08 10 11 12 13 15) y reporta 71 por ciento. 6.4 enumera 11 RF (RF-01 03 07 08 10 12 13 16 19 22 23) y reporta 64,7 por ciento. Cinco RF de 6.1 no aparecen en 6.4 y cuatro de 6.4 no aparecen en 6.1. Solo la lista de 6.4 coincide con 05_MVP/README.md del repositorio.;Consistencia;Mayor;Alcance del MVP y RF Must;Munoz (Mod);CORREGIDO
D-07;A.3 Cronograma de actividades Tabla 67 (lineas 2169 a 2173) frente a IV 5.3 5.4 VI y VIII;El cronograma marca Pendiente el modelado UML completo Kano WSJF y MVP (semanas 14-15) y el analisis del componente empirico y el dataset Zenodo (semana 16), y marca En proceso el registro del protocolo en OSF (semana 11). El cuerpo del documento presenta esos mismos elementos como ejecutados: la seccion IV inserta los diagramas, 5.3 y 5.4 publican resultados Kano y puntajes WSJF, VI declara el MVP implementado y las conclusiones afirman que el componente empirico ya cuenta con datos reales. El estado del proyecto se declara de dos formas incompatibles.;Consistencia;Mayor;Cronograma A.3 secciones IV V VI y VIII;Munoz (Mod);CORREGIDO
D-08;5.4 Valor de negocio WSJF (linea 1925) y Tabla 62 (lineas 1932 a 1949);El texto introductorio declara que los componentes del costo de retraso deben estimarse en sesion de equipo con al menos un stakeholder validando la escala y que se deja la estructura lista para completar durante la semana 13. La tabla que sigue ya contiene 17 filas con valores. No se declara quien asigno los puntajes, cuando ni con que stakeholder, por lo que ningun tercero puede reproducir la priorizacion. La aritmetica de los 17 cocientes si es correcta, pero el dato de entrada carece de fuente.;Verificabilidad;Mayor;Tabla 62 y priorizacion WSJF de los 17 RF Must;Chavarria (I2);CORREGIDO
D-09;5.1 Clasificacion de requisitos (linea 1825) y Tabla 60;El parrafo anuncia la clasificacion completa de RF, RNF y restricciones de diseno consolidada en una sola tabla. La tabla contiene los 25 RF, unicamente 4 de los 16 RNF (NFR-01 NFR-02 NFR-03 NFR-10) y ninguna de las 18 restricciones de diseno. Faltan 12 RNF y 18 RD respecto de lo anunciado.;Completitud;Mayor;Tabla 60 NFR-04 a NFR-09 NFR-11 a NFR-16 y RD-01 a RD-18;Chavarria (I2);CORREGIDO
D-10;3.6 Historias de usuario HU-01 a HU-17 (lineas 991 a 1154);Las 17 historias estan mal formadas en Connextra: la clausula para <beneficio> repite literalmente la descripcion del RF en lugar de expresar el beneficio (HU-01 para el sistema debe capturar en tiempo real temperatura...). Los 17 escenarios Gherkin usan el marcador generico cuando se cumple la condicion operativa de RF-nn en la clausula Cuando y colocan un procedimiento de prueba en la clausula Entonces. Ningun criterio de aceptacion resulta ejecutable ni decidible. Se arrastran ademas errores de mayusculas por generacion automatica (iot, hdmi, rf-08, c).;Verificabilidad;Mayor;HU-01 a HU-17 y los 17 RF Must asociados;Chavarria (I1);CORREGIDO
D-11;4.10 Diagrama de estados Alerta (linea 1808);La transicion Notificada -> Escalada se condiciona a que no exista atencion dentro del umbral de tiempo definido en RNF-01. NFR-01 cuantifica el tiempo de entrega de la alerta (menor o igual a 60 s desde la deteccion), no un umbral de atencion. Ademas ningun RF ni RNF del catalogo especifica el escalado de alertas ni la intervencion de autoridad que el modelo introduce como transicion Escalada -> Atendida.;Consistencia;Mayor;NFR-01 RF-08 y estados de la entidad Alerta;Chavarria (I2);CORREGIDO
D-12;3.2 RF-13 (linea 686) y RF-16 (linea 731);Ambos requisitos especifican el apagado automatico de equipos en aula desocupada fuera del horario academico, ambos tienen prioridad Must y ambos fijan el mismo criterio de verificacion de 2 minutos. RF-16 queda contenido en RF-13 sin que se delimite que hace cada uno. Dos requisitos Must solapados generan doble implementacion, doble prueba y ambiguedad sobre cual gobierna en caso de conflicto de reglas.;Consistencia;Mayor;RF-13 y RF-16;Chavarria (I1);CORREGIDO
D-13;3.4 fila Art. 43 y Art. 46 (linea 939) frente a 3.3 NFR-12 (linea 899);La tabla legal asigna a NFR-12 el deber de notificar vulneraciones de seguridad a la Autoridad de Proteccion de Datos en 5 dias y al titular en 3 dias. NFR-12 solo exige generar una alerta interna al administrador ante un intento de acceso no autorizado en 5 minutos. Ningun RF ni RNF especifica la notificacion a la Autoridad ni al titular, ni el registro que la sustente. Obligacion legal mapeada a un requisito que no la implementa.;Completitud;Mayor;NFR-12 RF-23 y LOPDP Art. 43 y 46;Chavarria (I2);CORREGIDO
D-14;3.2 RF-24 (linea 855) RF-25 (linea 870) y 3.4 filas Art. 13 y Art. 14 (lineas 936 y 937);Dos defectos concurrentes sobre el mismo par de requisitos. Primero, RF-24 y RF-25 operacionalizan derechos de ejercicio obligatorio del titular y se priorizan Should, categoria que 5.2.2 define como el sistema opera sin ellos; un deber legal no admite esa clasificacion. Segundo, la tabla legal fija el plazo en 15 dias y las fichas de RF-24 y RF-25 lo convierten en 15 dias habiles, ampliando unilateralmente en unos 7 dias calendario un plazo normativo.;Consistencia;Mayor;RF-24 RF-25 NFR-11 y LOPDP Art. 13 y 14;Chavarria (I1);CORREGIDO
