Clave,Tipo,Epica,Resumen,Descripcion,Prioridad-MoSCoW,Fuente-del-requisito,Estado-de-verificacion,Lista-Trello,Enlace-hacia-atras,Enlace-hacia-adelante
SIGA-E1,Epic,,Monitoreo y adquisicion de datos IoT,Captura de variables ambientales y de ocupacion y monitoreo de conectividad de los dispositivos del aula,Must,EV-01 Personal de Infraestructura y Mantenimiento,Verificado en MVP,Hecho,,RF-01;RF-03;RF-07;RF-22;NFR-16
SIGA-E2,Epic,,Control remoto y automatizacion energetica,Control de equipos del aula y reglas automaticas de encendido y apagado sincronizadas con el horario academico,Must,EV-01 Personal de Infraestructura y Mantenimiento,Parcial,Desarrollo,,RF-02;RF-04;RF-05;RF-13;RF-15;RF-16;RF-31
SIGA-E3,Epic,,Alertas y gestion de mantenimiento,Generacion escalado y atencion de alertas y ciclo de vida de los tickets de mantenimiento,Must,EV-01;EV-02;EV-12,Parcial,Desarrollo,,RF-08;RF-10;RF-11;RF-12;RF-26;RF-29;RF-30;NFR-17
SIGA-E4,Epic,,Reportes analitica e IA,Reportes administrativos exportables analisis de consumo y analisis predictivo de fallas con explicabilidad,Should,EV-02 Coordinacion de la Carrera,Pendiente 2B,Backlog,,RF-09;RF-14;RF-17;RF-18;RF-20;NFR-10
SIGA-E5,Epic,,Seguridad acceso y auditoria,Autenticacion control de acceso por roles y bitacora de auditoria de todas las operaciones,Must,EV-02;EV-10;EV-13,Verificado en MVP,Hecho,,RF-19;RF-23;NFR-03;NFR-12
SIGA-E6,Epic,,Cumplimiento LOPDP,Derechos del titular y deberes de notificacion derivados de la Ley Organica de Proteccion de Datos Personales,Must,Analisis normativo LOPDP,Pendiente 2B,Aprobado,,RF-24;RF-25;RF-27;NFR-11;NFR-18
SIGA-1,Story,SIGA-E1,Recopilar temperatura humedad y ocupacion por aula,Como Personal de Infraestructura quiero consultar temperatura humedad y ocupacion de cada aula en tiempo real para detectar una condicion anomala antes de que interrumpa una clase,Must,EV-01 (RC-01),Verificado en MVP,Hecho,EV-01;RC-01,CU-01;CU-03;SensorIoT;MU-01;PR-01
SIGA-2,Story,SIGA-E1,Detectar automaticamente la ocupacion del aula,Como Personal de Infraestructura quiero que el sistema determine si un aula esta ocupada o vacia con sensores de presencia para no depender de revision manual,Must,EV-01 (RC-03),Verificado en MVP,Hecho,EV-01;RC-03,CU-03;Aula;MU-01;PR-03
SIGA-3,Story,SIGA-E1,Consultar el panel de control centralizado,Como Personal de Infraestructura quiero ver el estado de todas las aulas en una sola vista para priorizar donde acudir,Must,EV-01;EV-02;EV-08;EV-09;EV-10,Verificado en MVP,Hecho,EV-01;EV-02;RC-07,CU-01;PanelControl;MU-01;PR-07
SIGA-4,Story,SIGA-E1,Monitorear la conectividad de los dispositivos IoT,Como Personal de TI quiero saber que sensores gateways y controladores estan fuera de linea para intervenir antes de perder datos,Must,EV-01 (RC-24),Verificado en MVP,Hecho,EV-01;RC-24,CU-12;GatewayIoT;PR-22
SIGA-5,Story,SIGA-E1,Avisar explicitamente cuando un aula no tiene conectividad,Como Docente quiero que el panel avise que un aula esta sin conexion en lugar de mostrarme datos viejos como si fueran actuales para no tomar decisiones sobre informacion obsoleta,Must,EV-15 DOC-03,Cuantificado por RFC-02,Aprobado,EV-15;RFC-02,CU-01;CU-12;PanelControl;MU-01;PR-47
SIGA-6,Story,SIGA-E2,Controlar remotamente los dispositivos del aula,Como Personal de Infraestructura quiero encender apagar y ajustar los equipos sin desplazarme para reducir el tiempo de respuesta,Must,EV-01 (RC-02),Pendiente 2B,Analisis,EV-01;RC-02,CU-02;Equipo;MU-01;PR-02
SIGA-7,Story,SIGA-E2,Apagar equipos por desperdicio energetico en horario activo,Como Personal de Infraestructura quiero que los equipos de un aula desocupada dentro del horario se apaguen tras 15 min para reducir el consumo sin interrumpir clases,Must,EV-01 (RC-13),Verificado en MVP,Hecho,EV-01;RC-13;D-12,CU-13;MotorReglas;PR-13
SIGA-8,Story,SIGA-E2,Apagar la totalidad de los equipos al finalizar el horario,Como Personal de Infraestructura quiero que al cerrar el horario academico y confirmarse el aula vacia se apaguen todos los equipos para eliminar el consumo nocturno,Must,EV-01 (RC-16),Verificado en MVP,Hecho,EV-01;RC-16;D-12,CU-03;CU-13;MotorReglas;PR-16
SIGA-9,Story,SIGA-E2,Registrar una excepcion autorizada de apagado automatico,Como Docente quiero registrar una excepcion sobre un aula y un rango horario para que una clase extendida o una defensa de tesis no se quede sin proyector ni climatizacion,Must,Conflicto 2.4.2 del ERS - defecto D-23,Nuevo por RFC-01,Aprobado,EV-12;D-23;RFC-01,CU-13;ExcepcionApagado;MU-01;PR-31
SIGA-10,Story,SIGA-E2,Programar horarios automatizados de encendido y apagado,Como Personal de Infraestructura quiero programar reglas sincronizadas con el horario academico vigente para no depender de que alguien recorra las aulas,Must,EV-01;EV-05 (RC-15),Pendiente 2B,Analisis,EV-01;EV-05;RC-15,CU-13;HorarioAcademico;PR-15
SIGA-11,Story,SIGA-E3,Generar y enviar alertas por anomalias,Como Personal de Infraestructura quiero recibir una alerta automatica cuando el sistema detecte una anomalia para atenderla antes de que escale,Must,EV-01;EV-03;EV-12 (RC-08),Verificado en MVP,Hecho,EV-01;RC-08,CU-04;CU-05;Alerta;MU-02;PR-08
SIGA-12,Story,SIGA-E3,Escalar automaticamente una alerta critica no atendida,Como Autoridad de la Facultad quiero que una alerta critica sin atender en 30 min se escale a mi nivel para que ninguna falla quede sin responsable,Must,Defecto D-11 de la inspeccion,Nuevo por D-11,Aprobado,D-11;EV-12,CU-05;MotorEscalado;MU-02;PR-26
SIGA-13,Story,SIGA-E3,Gestionar solicitudes de mantenimiento mediante tickets,Como Docente quiero reportar una incidencia y seguir su estado para saber si alguien la esta atendiendo,Must,EV-01;EV-02;EV-11;EV-14;EV-16 (RC-12),Verificado en MVP,Hecho,EV-01;EV-02;RC-12,CU-06;CU-07;SolicitudMantenimiento;MU-03;PR-12
SIGA-14,Story,SIGA-E3,Registrar el historial de fallas y mantenimientos,Como Personal de Infraestructura quiero un historial consultable de cada incidente para sustituir los informes manuales al decano,Must,EV-01;EV-06 (RC-10),Verificado en MVP,Hecho,EV-01;EV-06;RC-10,CU-08;SolicitudMantenimiento;MU-03;PR-10
SIGA-15,Story,SIGA-E3,Notificar de inmediato una falla critica durante clase,Como Coordinacion quiero que una falla durante una clase en curso notifique al tecnico en 30 s para reducir el tiempo de clase perdida,Must,EV-02;EV-03 (RC-11),Pendiente 2B,Analisis,EV-02;RC-11,CU-04;CU-05;Alerta;MU-02;PR-11
SIGA-16,Story,SIGA-E3,Emitir acuse de recepcion de una solicitud de mantenimiento,Como Coordinacion quiero recibir confirmacion de que mi solicitud fue recibida para no tener que preguntar por otro canal,Should,EV-14 COORD-03 - candidato formalizado por D-15,Nuevo por D-15,Backlog,EV-14;D-15,CU-06;CU-07;SolicitudMantenimiento;MU-03;PR-29
SIGA-17,Story,SIGA-E4,Generar reportes estadisticos periodicos,Como Autoridad quiero reportes de uso ocupacion y consumo para sustentar decisiones de inversion,Should,EV-02;EV-13 (RC-17),Pendiente 2B,Backlog,EV-02;RC-17,CU-09;ReporteAdministrativo;MU-04;PR-17
SIGA-18,Story,SIGA-E4,Exportar reportes administrativos en PDF y Excel,Como Personal Administrativo quiero descargar el reporte en PDF o Excel para incorporarlo a mis informes,Should,EV-02 (RC-18),Pendiente 2B,Backlog,EV-02;RC-18,CU-10;ReporteAdministrativo;MU-04;PR-18
SIGA-19,Story,SIGA-E4,Predecir fallas de equipos con explicacion comprensible,Como Personal de Infraestructura quiero un indicador de riesgo por equipo acompanado de la razon de la prediccion para poder confiar en el o descartarlo,Should,EV-02 (RC-09);NFR-10,Pendiente 2B,Backlog,EV-02;RC-09,CU-16;ModuloIA;PR-09;PR-41
SIGA-20,Story,SIGA-E5,Gestionar acceso diferenciado por roles,Como Coordinacion quiero que cada perfil vea solo lo que le corresponde para proteger las funciones criticas,Must,EV-02;EV-10;EV-13 (RC-19),Verificado en MVP,Hecho,EV-02;RC-19,CU-11;Usuario;Rol;PR-19
SIGA-21,Story,SIGA-E5,Registrar en bitacora toda accion de usuario,Como Personal de TI quiero un registro de auditoria de cada operacion para poder demostrar cumplimiento ante la Autoridad,Must,EV-01;EV-02;EV-11;EV-15 (RC-25);LOPDP Art. 10 lit. k,Verificado en MVP,Hecho,EV-01;EV-02;RC-25,CU-14;BitacoraAccion;PR-23
SIGA-22,Story,SIGA-E6,Exportar los datos personales del titular a solicitud,Como titular de datos quiero descargar los datos personales que el sistema guarda de mi para ejercer mi derecho de acceso,Must,LOPDP Art. 13 - repriorizado por RFC-03,Repriorizado por RFC-03,Aprobado,LOPDP Art. 13;RFC-03,CU-11;Usuario;PR-24
SIGA-23,Story,SIGA-E6,Rectificar datos personales inexactos,Como titular de datos quiero corregir un dato mio incorrecto y que quede constancia del cambio para ejercer mi derecho de rectificacion,Must,LOPDP Art. 14 - repriorizado por RFC-03,Repriorizado por RFC-03,Aprobado,LOPDP Art. 14;RFC-03,CU-11;Usuario;PR-25
SIGA-24,Story,SIGA-E6,Notificar una vulneracion de seguridad a la Autoridad y al titular,Como responsable de proteccion de datos quiero que el sistema genere el expediente de la brecha y emita las notificaciones dentro de plazo para cumplir los Art. 43 y 46,Must,LOPDP Art. 43 y Art. 46 - defecto D-13,Nuevo por RFC-03,Aprobado,LOPDP Art. 43 y 46;D-13;RFC-03,CU-17;IncidenteSeguridad;PR-27;PR-49
SIGA-1.1,Sub-task,SIGA-1,CA: el panel muestra la lectura en 10 s o menos,Dado un aula con sensor conectado cuando el sensor emite una lectura entonces el panel la muestra con marca de tiempo en 10 s o menos,Must,EV-01,Verificado en MVP,Hecho,SIGA-1,PR-01
SIGA-1.2,Sub-task,SIGA-1,CA: el error de la lectura no supera 1 grado Celsius ni 5 por ciento de humedad,Dado un patron de referencia cuando se compara con la lectura del sensor entonces la diferencia no supera 1 grado Celsius ni 5 puntos de humedad,Must,EV-01,Verificado en MVP,Hecho,SIGA-1,PR-01
SIGA-5.1,Sub-task,SIGA-5,CA: el aviso de falta de conectividad aparece en 30 s o menos,Dado un aula cuyo gateway deja de emitir cuando transcurren 30 s sin lectura entonces el panel muestra el aviso explicito de falta de conectividad,Must,EV-15;RFC-02,Aprobado,Aprobado,SIGA-5,PR-47
SIGA-5.2,Sub-task,SIGA-5,CA: todo dato mostrado lleva su antiguedad en minutos,Dado un aula sin conectividad cuando el panel muestra la ultima lectura conocida entonces la presenta con su antiguedad en minutos y no como dato actual,Must,EV-15;RFC-02,Aprobado,Aprobado,SIGA-5,PR-47
SIGA-5.3,Sub-task,SIGA-5,CA: no se ejecuta apagado automatico con datos de ocupacion obsoletos,Dado un aula cuyo dato de ocupacion supera el umbral de vigencia cuando se cumple la regla de apagado entonces el sistema inhibe el apagado y registra el intento,Must,RFC-02;D-04,Aprobado,Aprobado,SIGA-5,PR-13;PR-16;PR-47
SIGA-9.1,Sub-task,SIGA-9,CA: una excepcion vigente inhibe el apagado automatico,Dado un aula con excepcion vigente cuando se cumple la regla de apagado de RF-13 RF-15 o RF-16 entonces el sistema no apaga y registra el intento inhibido,Must,RFC-01,Aprobado,Aprobado,SIGA-9,PR-31
SIGA-9.2,Sub-task,SIGA-9,CA: la excepcion caduca automaticamente y no supera 4 horas,Dado una excepcion registrada cuando transcurre su rango o se alcanzan 4 horas entonces la excepcion caduca y el apagado vuelve a ejecutarse en 2 min o menos,Must,RFC-01 - condicion del CCB,Aprobado,Aprobado,SIGA-9,PR-31
SIGA-9.3,Sub-task,SIGA-9,CA: la excepcion queda registrada en bitacora con usuario aula rango y motivo,Dado un usuario autorizado que registra una excepcion cuando se guarda entonces la bitacora almacena usuario aula rango y motivo y se notifica al responsable del aula,Must,RFC-01;RF-23,Aprobado,Aprobado,SIGA-9,PR-23;PR-31
SIGA-12.1,Sub-task,SIGA-12,CA: la alerta critica sin atencion en 30 min se escala,Dado una alerta critica en estado Notificada cuando transcurren 30 min sin registro de atencion entonces el sistema la marca como Escalada y notifica al superior configurado,Must,D-11;NFR-17,Aprobado,Aprobado,SIGA-12,PR-26;PR-48
SIGA-12.2,Sub-task,SIGA-12,CA: una alerta escalada puede cerrarse por intervencion de autoridad,Dado una alerta en estado Escalada cuando una Autoridad registra la accion de atencion entonces la alerta pasa a Atendida y queda trazada la intervencion,Must,D-11,Aprobado,Aprobado,SIGA-12,PR-26
SIGA-24.1,Sub-task,SIGA-24,CA: la notificacion a la Autoridad se emite dentro de 5 dias,Dado un incidente marcado como vulneracion confirmada cuando se genera el expediente entonces la notificacion a la Autoridad se emite dentro de los 5 dias desde la deteccion,Must,LOPDP Art. 43;NFR-18,Aprobado,Aprobado,SIGA-24,PR-27;PR-49
SIGA-24.2,Sub-task,SIGA-24,CA: la notificacion al titular se emite dentro de 3 dias,Dado un incidente confirmado con titulares identificados cuando se genera el expediente entonces cada titular afectado recibe la notificacion dentro de los 3 dias desde la deteccion,Must,LOPDP Art. 46;NFR-18,Aprobado,Aprobado,SIGA-24,PR-27;PR-49
SIGA-22.1,Sub-task,SIGA-22,CA: la exportacion se entrega en 15 dias naturales,Dado un titular autenticado que solicita la exportacion cuando se procesa la solicitud entonces el archivo queda disponible dentro de los 15 dias naturales y no habiles,Must,LOPDP Art. 13;RFC-03,Aprobado,Aprobado,SIGA-22,PR-24
SIGA-22.2,Sub-task,SIGA-22,CA: el archivo exportado contiene perfil y bitacora del titular,Dado un titular autenticado cuando descarga su exportacion entonces el archivo contiene los campos de perfil y las entradas de bitacora asociadas a su usuario en formato legible,Must,LOPDP Art. 13,Aprobado,Aprobado,SIGA-22,PR-24
