Correcciones aplicadas al ERS SIGA - de v1.0 a v1.1;;;;;
Alcance;100 por ciento de los defectos criticos y mayores (23 de 23). Los 6 defectos menores se documentan sin corregir con justificacion.;;;;
Base;ERS_SIGA_v1.0 (commit bb04d43 del repositorio del PFC). El texto corregido se consolida en 01_ERS/ERS_SIGA_v1.1_delta.tex;;;;
;;;;;
Defecto;Severidad;Ubicacion;Texto ANTES (v1.0);Texto DESPUES (v1.1);Requisito o artefacto modificado
D-01;Critico;Anexo A.4 (L2225);"[Titulo ""A.4 Declaracion de uso de Inteligencia Artificial Generativa"" sin ninguna linea de contenido]";"A.4 Declaracion de uso de Inteligencia Artificial Generativa. El equipo declara el uso de un modelo de lenguaje grande (Claude Sonnet 5, interfaz de chat, accesos entre 2026-07-20 y 2026-07-29) en tres tareas acotadas: (1) reescritura de estilo de los parrafos de las secciones 1.1, 2.1 y 8, sobre texto redactado previamente por el equipo; (2) generacion del Conjunto A de requisitos funcionales del componente empirico (Seccion VII), que es objeto de estudio y no insumo del ERS; (3) traduccion al ingles de las etiquetas de los diagramas UML. NO se uso IA generativa para redactar requisitos del Conjunto B, criterios de verificacion, la matriz de trazabilidad ni las conclusiones. Verificacion realizada: cada parrafo asistido fue contrastado contra la transcripcion o el artefacto fuente por el Verificador (GILCES JOSE) y por la Documentadora (MUNOZ YERANICK); las referencias citadas se comprobaron una a una contra su DOI. Firman los cinco integrantes.";Apendice A.4 y Registro de correcciones 1B->2A
D-02;Critico;matriz_trazabilidad.csv filas 5-45;"Filas con ID-HU=HU-24, HU-25, HU-07b, HU-07e, HU-10b, HU-12b, HU-12c, HU-12d e ID-CA=CA-04, CA-07b..CA-07e, CA-10b, CA-12b..CA-12d, CA-24, CA-25; columnas ID-HU vacias para RF-01, RF-02, RF-03, RF-10, RF-13, RF-15, RF-19, RF-21, RF-22, RF-23";"Se eliminan los 18 identificadores sin contrapartida en el ERS y se sustituyen por los que si existen: RF-01->HU-01, RF-02->HU-02, RF-03->HU-03, RF-04->HU-04, RF-05->HU-05, RF-07->HU-06, RF-08->HU-07, RF-10->HU-08, RF-11->HU-09, RF-12->HU-10, RF-13->HU-11, RF-15->HU-12, RF-16->HU-13, RF-19->HU-14, RF-21->HU-15, RF-22->HU-16, RF-23->HU-17. Las columnas ID-CA se dejan vacias hasta que el ERS defina identificadores de criterio de aceptacion (accion abierta en el Acta del CCB). Las necesidades de segunda ronda antes codificadas como HU-07b, HU-10b, HU-12b, HU-12c, HU-12d y HU-07e pasan a la columna nueva ""Candidato-2A"" con su EV de origen, sin fingir que son historias del ERS.";Matriz de trazabilidad completa, HU-01 a HU-17
D-03;Critico;3.4 fila Art. 4 y Art. 26 (L941);"SIGA procesa el video de la camara unicamente para determinar presencia/ocupacion de forma agregada (verdadero/falso) ... no almacena el video ni los fotogramas, y no realiza reconocimiento facial ... En consecuencia, la imagen procesada por SIGA no constituye dato biometrico";"SIGA no procesa imagen para determinar ocupacion: la ocupacion se determina exclusivamente por sensores de presencia (RF-03). La unica funcion que involucra video es RF-06, que embebe en el panel el flujo del sistema de videovigilancia existente sin almacenarlo ni analizarlo. Para que esta afirmacion sea verificable y no meramente declarativa se incorporan a RF-06 dos postcondiciones nuevas: (a) el sistema no persiste video ni fotogramas en ningun almacenamiento propio; (b) el sistema no ejecuta reconocimiento facial ni ninguna identificacion univoca de personas. La clasificacion del proyecto en Categoria B queda sustentada en estas dos postcondiciones verificables de RF-06 y no en una afirmacion sin requisito destino.";RF-06 (dos postcondiciones nuevas), RD-05 y tabla 3.4
D-04;Critico;2.6.1 SUP-01 (L316) y 2.6.2 DEP-01 (L336);"SUP-01: Se asume que las aulas y laboratorios contaran con conectividad Wi-Fi o red cableada estable.";"SUP-01 (revisada): NO se asume conectividad estable. La evidencia EV-15 (DOC-03) establece que la mayoria de las aulas de la Facultad carece hoy de conexion a internet. Se asume unicamente que las aulas piloto seleccionadas segun RD-08 recibiran conectividad antes del despliegue, y esa habilitacion se registra como precondicion de despliegue, no como suposicion del entorno. Se agrega el riesgo RG-01 (ausencia de conectividad en aulas no piloto) al analisis de riesgos, con NFR-16 como mitigacion funcional obligatoria y prioridad elevada a Must. DEP-01 se reformula como dependencia critica con plan de contingencia declarado.";SUP-01, DEP-01, NFR-16 (prioridad a Must) y nuevo riesgo RG-01
D-05;Mayor;L880, L912, L919, L1825, L1874, L2097;"...se declara en la columna ""Estado de validacion"" de la Tabla 39"" (x5) y ""...consolidada en la Tabla 42"" (x2)";"Se sustituyen los siete numeros escritos a mano por referencias simbolicas de LaTeX: se etiqueta la tabla de RNF como tab:rnf y la de clasificacion como tab:clasificacion, y las siete apariciones pasan a ""la Tabla \ref{tab:rnf}"" y ""la Tabla \ref{tab:clasificacion}"". Se anade \label a las 68 tablas y se sustituyen todas las menciones numericas restantes.";Referencias cruzadas de todo el documento
D-06;Mayor;6.1 (L2009);"Se propone cubrir el 60% de los RF Must ... RF-01, RF-02, RF-03, RF-04, RF-05, RF-07, RF-08, RF-10, RF-11, RF-12, RF-13, RF-15. Esto representa 12 de 17 RF Must (71%)";"La seccion 6.1 se reescribe para declarar el alcance efectivamente implementado, unico verificable contra el codigo: el MVP cubre 11 de los 17 RF Must (64,7 por ciento): RF-01, RF-03, RF-07, RF-08, RF-10, RF-12, RF-13, RF-16, RF-19, RF-22 y RF-23. Los cinco RF que 6.1 anunciaba y no se implementaron (RF-02, RF-04, RF-05, RF-11, RF-15) se declaran diferidos a la Entrega 4 con su justificacion, en lugar de desaparecer sin mencion.";Seccion 6.1 y alcance del MVP
D-07;Mayor;A.3 Tabla 67 (L2169-L2173) y VIII (L2097);"Semanas 14-15 ""Pendiente""; semana 16 ""Pendiente""; semana 11 ""En proceso""; conclusiones: ""el componente empirico (evaluacion real de 3 jueces ciegos, analisis estadistico y kappa de Fleiss) ya cuentan con datos reales incorporados en esta version""";"El cronograma se actualiza al estado real al cierre de la entrega: semanas 14-15 ""Completado"" (los 41 diagramas, Kano, WSJF y MVP estan insertados y verificables); semana 16 ""Parcial - resultados de los 3 jueces disponibles en 06_Experimento/resultados/, dataset Zenodo pendiente de DOI""; semana 11 ""Registro OSF en revision institucional - sin DOI a la fecha de cierre"". La frase de las conclusiones se corrige a: ""el componente empirico cuenta con las puntuaciones reales de los tres jueces ciegos en 06_Experimento/resultados/; el analisis estadistico y el kappa de Fleiss se reportan en la Entrega 4 (2B)"". El CHANGELOG.md se alinea con esta redaccion.";Tabla 67, conclusiones y CHANGELOG.md
